,GDP,TENYR
2019-07-27,21717.171,2.03
2019-07-28,21717.171,2.03
2019-07-29,21717.171,2.03
2019-07-30,21717.171,2.03
2019-07-31,21717.171,2.03
2019-08-01,21717.171,2.03
2019-08-02,21717.171,2.03
2019-08-03,21717.171,2.03
2019-08-04,21717.171,2.03
2019-08-05,21717.171,2.03
2019-08-06,21717.171,2.03
2019-08-07,21717.171,2.03
2019-08-08,21717.171,2.03
2019-08-09,21717.171,2.03
2019-08-10,21717.171,2.03
2019-08-11,21717.171,2.03
2019-08-12,21717.171,2.03
2019-08-13,21717.171,2.03
2019-08-14,21717.171,2.03
2019-08-15,21717.171,2.03
2019-08-16,21717.171,2.03
2019-08-17,21717.171,2.03
2019-08-18,21717.171,2.03
2019-08-19,21717.171,2.03
2019-08-20,21717.171,2.03
2019-08-21,21717.171,2.03
2019-08-22,21717.171,2.03
2019-08-23,21717.171,2.03
2019-08-24,21717.171,2.03
2019-08-25,21717.171,2.03
2019-08-26,21717.171,2.03
2019-08-27,21717.171,2.03
2019-08-28,21717.171,2.03
2019-08-29,21717.171,2.03
2019-08-30,21717.171,2.03
2019-08-31,21717.171,2.03
2019-09-01,21717.171,2.03
2019-09-02,21717.171,2.03
2019-09-03,21717.171,2.03
2019-09-04,21717.171,2.03
2019-09-05,21717.171,2.03
2019-09-06,21717.171,2.03
2019-09-07,21717.171,2.03
2019-09-08,21717.171,2.03
2019-09-09,21717.171,2.03
2019-09-10,21717.171,2.03
2019-09-11,21717.171,2.03
2019-09-12,21717.171,2.03
2019-09-13,21717.171,2.03
2019-09-14,21717.171,2.03
2019-09-15,21717.171,2.03
2019-09-16,21717.171,2.03
2019-09-17,21717.171,2.03
2019-09-18,21717.171,2.03
2019-09-19,21717.171,2.03
2019-09-20,21717.171,2.03
2019-09-21,21717.171,2.03
2019-09-22,21717.171,2.03
2019-09-23,21717.171,2.03
2019-09-24,21717.171,2.03
2019-09-25,21717.171,2.03
2019-09-26,21717.171,2.03
2019-09-27,21717.171,2.03
